BLOCK,FLOOR,FLAT,PRICE,SFA
12,23,E,7.91,561
12,24,E,7.91,561
9,31,E,7.90,561
12,32,H,7.90,561
11,34,E,7.90,561
8,17,A,7.90,587
4,31,B,7.90,539
10,10,E,7.90,561
11,34,E,7.90,561
4,32,G,7.90,539
12,20,H,7.90,561
7,30,B,7.90,551
7,24,B,7.89,551
9,10,H,7.89,561
12,22,H,7.89,561
7,17,B,7.89,551
11,21,E,7.89,561
12,23,E,7.89,561
12,34,E,7.89,561
11,20,H,7.89,561
12,21,H,7.89,561
11,23,H,7.88,561
9,34,E,7.88,561
11,34,H,7.88,561
12,25,E,7.88,561
12,18,H,7.88,561
4,27,B,7.88,539
4,31,B,7.88,539
12,18,H,7.88,561
12,16,E,7.88,561
11,19,H,7.88,561
9,9,H,7.88,561
10,21,H,7.87,561
7,21,B,7.87,551
5,29,B,7.87,539
7,32,B,7.87,551
12,24,H,7.87,561
11,15,H,7.87,561
5,33,B,7.87,539
12,21,E,7.87,561
12,18,H,7.87,561
11,33,H,7.87,561
8,17,A,7.87,587
9,20,E,7.87,561
7,24,B,7.87,551
9,15,E,7.86,561
12,18,H,7.86,561
8,28,E,7.86,561
9,26,E,7.86,561
5,33,B,7.86,539
4,25,B,7.86,539
5,18,B,7.86,539
12,17,E,7.86,561
9,23,E,7.85,561
8,34,E,7.85,561
11,15,H,7.85,561
12,34,E,7.85,561
5,26,B,7.85,539
9,9,H,7.85,561
11,32,E,7.84,561
12,26,H,7.84,561
12,34,E,7.84,561
8,15,E,7.84,561
10,21,H,7.84,561
10,23,H,7.84,561
4,20,G,7.84,539
9,4,A,7.84,587
7,23,B,7.84,551
11,15,E,7.84,561
8,25,E,7.84,561
4,26,B,7.83,539
12,20,H,7.83,561
7,24,B,7.83,551
7,19,B,7.83,551
4,25,B,7.83,539
9,6,H,7.83,561
12,33,H,7.83,561
11,21,H,7.83,561
10,12,E,7.83,561
6,20,G,7.83,551
10,7,E,7.83,561
11,16,H,7.82,561
12,17,H,7.82,561
6,30,G,7.82,551
12,28,H,7.82,561
11,17,H,7.82,561
4,31,G,7.81,539
8,26,E,7.81,561
5,31,B,7.81,539
9,26,E,7.81,561
12,33,H,7.81,561
4,19,G,7.81,539
7,17,B,7.81,551
11,34,E,7.80,561
11,22,E,7.80,561
11,27,H,7.80,561
10,17,H,7.80,561
9,9,H,7.80,561
4,27,G,7.80,539
5,24,B,7.80,539
10,34,H,7.80,561
7,17,B,7.79,551
12,20,E,7.79,561
12,24,H,7.79,561
11,13,H,7.79,561
